TrackName,Genre,link,rating
dilbar,romantic|pop,https://www.youtube.com/watch?v=JFcgOboQZ08,1.1
dil diya gallan,romantic,https://www.youtube.com/watch?v=SAcpESN_Fk4,1.1
dekhte dekhte,romantic|sad,https://www.youtube.com/watch?v=jBQpGiubj0c,1.1
bom diggy diggy,pop|party,https://www.youtube.com/watch?v=yIIGQB6EMAM,1.1
chogada,pop|party,https://www.youtube.com/watch?v=asYxxtiWUyw,1.1
o saathi,romantic|happy,https://www.youtube.com/watch?v=YuXLN23ZGQo,1.1
akh ladd jaave,romantic|happy,https://www.youtube.com/watch?v=zYhBJoBUSYA,1.1
paaniyo sa,romantic|happy,https://www.youtube.com/watch?v=Jm7Satp7Zqk,1.1
kamariya,pop,https://www.youtube.com/watch?v=9LtJYw1eY30,1.1
high rated gabru,pop,https://www.youtube.com/watch?v=hjWf8A0YNSE,1.1
dil chori,pop,https://www.youtube.com/watch?v=xWi8nDUjHGA,1.1
proper patola,pop,https://www.youtube.com/watch?v=YmXJp4RtBCM,1.1
tera hua,romantic|happy,https://www.youtube.com/watch?v=-4JV4hur1PM,1.1
morni banke,pop,https://www.youtube.com/watch?v=1EadhOBcfI0,1.1
sanu ek pal chain na aave,romantic|happy,https://www.youtube.com/watch?v=13z2kF6TiCc,1.1
pal,romantic|happy,https://www.youtube.com/watch?v=aDFEb_W2t1Y,1.1
tere naal nachna,pop,https://www.youtube.com/watch?v=94vimg-so20,1.1
halka halka,pop,https://www.youtube.com/watch?v=nZhLM-FeV9A,1.1
kamariya,pop,https://www.youtube.com/watch?v=i0_m90T04uw,1.1
patola,pop,https://www.youtube.com/watch?v=z-ZEHL4Df-A,1.1
swag se swagat,pop,https://www.youtube.com/watch?v=7TRFf7uUfhQ,1.1
dholida,pop,https://www.youtube.com/watch?v=rz1hAo3Hiy4,1.1
lo safar,romantic|sad,https://www.youtube.com/watch?v=jcV7i0WM9jU,1.1
aao kabhi haveli pe,happy,https://www.youtube.com/watch?v=PkgStlsVaqw,1.1
sawarne lage,romantic|happy,https://www.youtube.com/watch?v=wSXGpoDGDbE,1.1
milegi milegi,pop,https://www.youtube.com/watch?v=1xYZeDReUz4,1.1
chodd diya,sad,https://www.youtube.com/watch?v=KMz2pTfRIxw,1.1
tera yaar hun mein,happy,https://www.youtube.com/watch?v=EatzcaVJRMs,1.1
kar har maidaan fateh,motivational,https://www.youtube.com/watch?v=9iIX4PBplAY,1.1
nazar na lag jaae,romantic|happy,https://www.youtube.com/watch?v=E--e8imSYM8,1.1
ek do teen,pop,https://www.youtube.com/watch?v=cLTXQxiQPgE,1.1
la la la,happy,https://www.youtube.com/watch?v=pA5GIalSit4,1.1
suraiyya,happy,https://www.youtube.com/watch?v=vwm_gOZkyM4,1.1
billionaire,pop,https://www.youtube.com/watch?v=fiRdp7riFFA,1.1
mundiyan,pop,https://www.youtube.com/watch?v=G5wC5ze8ySQ,1.1
kaun nachdi,pop,https://www.youtube.com/watch?v=NbWKYgaWzbI,1.1
binte dil,happy|dark,https://www.youtube.com/watch?v=9aoUpCXY7uk,1.1
nachle na,pop,https://www.youtube.com/watch?v=cajMxG9Y-Dk,1.1
Koi Dua Karo Mere Layi,sad|dark,https://www.youtube.com/watch?v=3mBpgxzAn6E,1.1
Filhaal,sad,https://www.youtube.com/watch?v=hMy5za-m5Ew,1.1
Bekhayali Mein,sad|romantic,https://www.youtube.com/watch?v=VOLKJJvfAbg,1.1
Tum Hi Aana,sad,https://www.youtube.com/watch?v=tLqtnGLfm4Q,1.1
Pachtaoge,sad,https://www.youtube.com/watch?v=PVxc5mIHVuQ,1.1
Phir Bhi Tumko Chahunga,sad|romantic,https://www.youtube.com/watch?v=_iktURk0X-A,1.1
Mera Intkam Dekhegi,sad|dark,https://www.youtube.com/watch?v=BiVyN2ftrrs,1.1
Baatein Ye Kabhi Na,sad,https://www.youtube.com/watch?v=SOessajf_Ik,1.1
Baarish,sad|romantic,https://www.youtube.com/watch?v=cFa79l4djdA,1.1
Chak De India,motivational,https://www.youtube.com/watch?v=bnqLzCsffwY,1.1
Roobaroo,motivational,https://www.youtube.com/watch?v=BrfRB6aTZlM,1.1
